French,English
partie,part
histoire,history
police,police
demande,request
frère,brother
car,because
ville,city
chaque,each
parlé,speak
bébé,baby
longtemps,long time
vont,will
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
pourrais,could
affaire,case
donner,give
leurs,their
endroit,place
yeux,eyes
dont,whose
premier,first
perdu,lost
première,first
pouvoir,power
tiens,here
matin,morning
pardon,sorry
venez,come
devant,in front of
chambre,bedroom
droit,law
espère,hope
attendez,Wait
parti,left
nouvelle,new
dirait,would say
compte,account
donne,given
loin,far
fin,end
croire,believe
chérie,sweetheart
plutôt,rather
filles,girls
jouer,to play
